iter	RMSE
0	0.9996097359
1	0.9909956889
2	0.9878230329
3	0.979812195
4	0.9718048679
5	0.9688160909
6	0.9654453277
7	0.9576489075
8	0.9494505882
9	0.9481618908
10	0.9404284039
11	0.9338148689
12	0.9263427275
13	0.9186078454
14	0.9163193427
15	0.9090909196
16	0.9018233953
17	0.8951911663
18	0.889750844
19	0.8867151786
20	0.879412954
21	0.8723440926
22	0.865212681
23	0.8585389054
24	0.8517950287
25	0.8454295914
26	0.8387304015
27	0.832257251
28	0.8261050915
29	0.8249824546
30	0.8193164534
31	0.8162521436
32	0.8097975091
33	0.803755849
34	0.80245719
35	0.7966035212
36	0.7900468841
37	0.784262194
38	0.7826626444
39	0.7771921926
40	0.7714876129
41	0.7656729761
42	0.7641392216
43	0.7586468337
44	0.7542435651
45	0.7527589774
46	0.7491304894
47	0.7438013318
48	0.7420367433
49	0.7367242077
50	0.7316090652
51	0.7264630099
52	0.7216620124
53	0.7199919245
54	0.7193310913
55	0.7143387217
56	0.7094242832
57	0.7048038
58	0.7003399245
59	0.6978102343
60	0.6965007364
61	0.6951363689
62	0.6925084526
63	0.6906084254
64	0.6861299566
65	0.6815773784
66	0.6809749774
67	0.6765224665
68	0.6721704754
69	0.6676299234
70	0.6632155383
71	0.6586393238
72	0.6574239193
73	0.6568285303
74	0.6522151576
75	0.6480578639
76	0.6466323634
77	0.6453162833
78	0.6444565239
79	0.6401372085
80	0.639419166
81	0.6352984106
82	0.630941773
83	0.6269139363
84	0.6262919362
85	0.6223490706
86	0.6212983378
87	0.6175560437
88	0.6136279467
89	0.6110691164
90	0.6085281859
91	0.6052346048
92	0.6028311644
93	0.6017008473
94	0.600961125
95	0.5999865024
96	0.5963856434
97	0.5957749325
98	0.5919736005
99	0.5884242276
100	0.5850856028
101	0.5813658163
102	0.5791416137
103	0.5752329113
104	0.574444027
105	0.5719486469
106	0.570794327
107	0.5689276678
108	0.5652954519
109	0.5646887619
110	0.5637799715
111	0.5634807712
112	0.5626895354
113	0.5617472233
114	0.5613853032
115	0.5581574927
116	0.5576890806
117	0.556846083
118	0.5563210361
119	0.5559791411
120	0.5527284131
121	0.5522549993
122	0.548677016
123	0.5479438389
124	0.5448249978
125	0.5441860958
126	0.5411043377
127	0.5380848216
